PropertyName,total_complaints,mask_complaints
Central Park,183,77
Prospect Park,82,26
Washington Square Park,51,20
McCarren Park,77,18
Riverside Park,46,17
Broadway Malls,55,17
Forest Park,60,15
Battery Park City,36,15
Astoria Park,61,14
Carl Schurz Park,34,13
Van Cortlandt Park,38,12
Juniper Valley Park,38,12
Flushing Meadows Corona Park,51,11
Pelham Bay Park,42,11
Marine Park,36,11
Owl's Head Park,25,10
Tompkins Square Park,37,9
Inwood Hill Park,36,9
J. Hood Wright Park,29,9
De Witt Clinton Park,14,8
Brooklyn Bridge Park,26,8
Fort Tryon Park,17,7
brooklyn bridge park,16,7
Union Square Park,17,7
Flushing Fields,18,6
Coney Island Beach & Boardwalk,19,6
Chelsea Park,20,6
Travers Park,12,6
central park,11,6
Willowbrook Parkway,20,6
riverside park,7,6
Msgr. McGolrick Park,14,5
College Point Fields,6,5
Madison Square Park,8,5
Cross Island Parkway,10,5
Cunningham Park,12,5
Highbridge Park,12,5
Sunset Park,25,5
Isham Park,21,4
Eastern Parkway,17,4
Hoover - Manton Playgrounds,11,4
Rockaway Beach Boardwalk,6,4
Asphalt Green,9,4
Wolfe's Pond Park,8,4
Arden Woods,8,4
Great Kills Park,9,4
Hunter's Point South Park,20,4
Fort Totten Park,9,4
prospect park,10,4
Adam Clayton Powell Jr. Malls,26,4
Ocean Parkway Malls,20,4
Freshkills Park,10,4
John V. Lindsay East River Park,12,4
Claremont Park,13,4
Jackie Robinson Park,9,4
Kissena Park,16,4
Bloomingdale Park,8,4
Silver Lake Park,10,4
mall,12,4
St. Nicholas Park,11,4
Bowne Park,11,3
Kissena Corridor Park,25,3
Marcus Garvey Park,15,3
Maria Hernandez Park,16,3
Fort Greene Park,13,3
Space Time Playground,3,3
Lawrence Virgilio Playground,8,3
Blue Heron Park,4,3
Paul Raimonda Playground,6,3
Grand Central Parkway Extension,6,3
Franklin D. Roosevelt Boardwalk and Beach,12,3
Soundview Park,11,3
Herbert Von King Park,13,3
Alley Pond Park,15,3
Clove Lakes Park,8,3
Little Bay Park,5,3
Cobble Hill Park,5,3
Shore Park and Parkway,19,3
MacDonald Park,9,3
Macombs Dam Park,8,3
Corlears Hook Park,4,3
Corporal John A. Seravalli Playground,5,3
Highland Park,27,3
Joan Of Arc Park,2,2
Lincoln Terrace / Arthur S. Somers Park,6,2
Kennedy Playground,3,2
Theodore Roosevelt Park,3,2
John Paul Jones Park,7,2
Jackie Robinson Parkway,9,2
The Battery,7,2
Grand Army Plaza,14,2
Triboro Plaza,2,2
Sheridan Triangle,3,2
Sutton Parks,2,2
Irving Square Park,5,2
LaGuardia Landing Lights,2,2
Mosholu Parkway,7,2
Robert Moses Playground,3,2
Bushwick Inlet Park,8,2
marine park,3,2
Owen F. Dolen Park,2,2
astoria park,2,2
Clement Clarke Moore Park,4,2
henry hudson park,3,2
Worth Square,2,2
Cooper Park,8,2
Riverside Park South,4,2
Murray Playground,5,2
Mount Eden Malls,2,2
Whitey Ford Field,3,2
P.O. Serrano Playground,4,2
brook park,2,2
Rockaway Beach,10,2
great kills park,2,2
Marx Brothers Playground,6,2
Valentino Pier,4,2
McKinley Square,19,2
Asser Levy Park,13,2
cunningham park,3,2
Father Fagan Park,4,2
Bronx Park,12,2
Socrates Sculpture Park,3,1
Quaker Parrot Park at the Dust Bowl,8,1
Poe Park,1,1
Ralph Bunche Park,1,1
Peter Detmold Park,1,1
Poppenhusen Playground,5,1
veterans park,1,1
rockaway beach,3,1
Shore Boulevard Mall,1,1
union square park,1,1
Red Hook Recreation Area,2,1
Red Shed Garden,1,1
the battery,1,1
Saratoga Park,3,1
Seward Park,5,1
Seton Park,11,1
Rodney Park Center,2,1
Rodney Park North,3,1
Rufus King Park,8,1
Sol Bloom Playground,2,1
Sara D. Roosevelt Park,10,1
garden,5,1
Ten Eyck Plaza,2,1
Spring Creek Park,17,1
battery park city,3,1
Whalen Playground,1,1
White Playground,1,1
William F. Passannante Ballfield,5,1
Willowbrook Park,1,1
prall playground,1,1
Woodycrest Community Garden,1,1
Yellowstone Park,3,1
Zion Triangle,1,1
asser levy park,1,1
belt parkway,1,1
Walton Slope,1,1
bridge park,1,1
madison square park,1,1
clove lakes park,1,1
college point park,1,1
crocheron park,1,1
cross island parkway,1,1
east river walk,1,1
federoff triangle,1,1
fort totten park,2,1
Welcome Home Garden,1,1
WNYC Transmitter Park,3,1
St. Albans Park,2,1
Sutton Place Park,1,1
St. James Park,3,1
St. Mark's Playground,11,1
St. Nicholas Playground South,1,1
risse street park,1,1
Stanley Isaacs Playground,3,1
Starlight Park,1,1
Steeplechase Park,3,1
Straus Park,2,1
Straus Square,2,1
frank principe park,2,1
Vladeck Park,1,1
The Big Park,1,1
ralph demarco park,1,1
Trinity Park,1,1
Trygve Lie Plaza,1,1
Pelham Parkway,6,1
University Malls,3,1
rainey park,1,1
Vernon Mall,2,1
Vincent F. Albano Jr. Playground,1,1
811 Family and Friends Garden,1,1
Lot,1,1
Peaceful Valley Garden,1,1
CPL. Thompson Park,4,1
Catherine Slip Malls,4,1
Catholic War Veterans Square,1,1
City Hall Park,9,1
Classon Playground,2,1
Clearview Park Golf Course,4,1
Coffey Park,1,1
Colucci Playground,3,1
Coney Island Creek Park,4,1
Continental Army Plaza,1,1
Corona Plaza,4,1
Crotona Park,8,1
Dean Playground,5,1
Detective Keith L Williams Park,3,1
DiGilio Playground,2,1
Dyckman House Museum,2,1
Dyker Beach Park,25,1
East River Esplanade,3,1
Eastern Parkway Extension,2,1
Ehrenreich-Austin Playground,5,1
Ewen Park,3,1
Family Community Garden,2,1
Featherbed Triangle,1,1
Fiorello La Guardia Park,1,1
Calvert Vaux Park,6,1
Brower Park,4,1
Fort Washington Park,8,1
Brookville Park,2,1
ABC Playground,2,1
Abe Lebewohl Triangle,1,1
Abe Wolfson Triangle,2,1
Albemarle Playground,4,1
Allen Mall One,4,1
Alley Athletic Playground,5,1
Anchorage Plaza,1,1
Andrew Haswell Green Park,1,1
Aqueduct Walk,2,1
Asser Levy Playground,1,1
Baisley Pond Park,4,1
Bar and Grill Park,1,1
Beach 30th Street Playground,1,1
Belt Parkway/Shore Parkway,12,1
Bennett Park,4,1
Bensonhurst Park,3,1
Berry Playground,8,1
Bill Rainey Park,4,1
Bleecker Playground,2,1
Bowling Green,1,1
Brisas Del Caribe,2,1
Bronx River Parkway,3,1
Brooklyn Academy Of Music,1,1
Fort Hamilton Athletic Field,5,1
Francis Lewis Park,12,1
Patterson Playground,1,1
L/CPL Thomas P. Noonan Jr. Playground,3,1
Legion Triangle,1,1
Lindower Park,3,1
A Philip Randolph Square,1,1
Machate Circle,1,1
Mall,1,1
Mall Eighteen,1,1
Marble Hill Playground,1,1
Marie Curie Playground,1,1
McKinley Park,13,1
Merriam Playground,3,1
Milestone Park,1,1
Mobilization For Change,3,1
Monsignor Crawford Field,1,1
Montbellier Park,2,1
Morningside Park,3,1
Neighborhood Community Garden,2,1
North Rochdale Playground,3,1
North Shore Esplanade,1,1
Old Place Creek Park,1,1
Paerdegat Park,3,1
Parade Ground,10,1
Park,13,1
Park Slope Playground,1,1
LaTourette Park & Golf Course,8,1
Kosciuszko Street Garden,1,1
Frederick Douglass Playground,3,1
Joyce Kilmer Park,1,1
Fulton Park,2,1
Georgia Ave Garden,1,1
Golconda Playground,2,1
Grand Ferry Park,1,1
Grover Cleveland Playground,2,1
Gustave Hartman Square,3,1
Harlem River Park,4,1
Harmony Park,1,1
Hart Playground,1,1
Harvey Park,1,1
Hell's Kitchen Park,1,1
Henry Hudson Park,8,1
Hero Park,3,1
Hinton Park,3,1
Hoyt Playground,2,1
Hunts Point Playground,2,1
Hutchinson River Parkway,3,1
Inwood Park,1,1
Jackson Square,1,1
Jacob H. Schiff Playground,3,1
James Burke Ballfield,1,1
James Madison Plaza,1,1
Joseph Austin Playground,5,1
washington square park,2,1
